"Country","Vaccine","Year","Coverage"
"Afghanistan","BCG","1980",0.33
"Afghanistan","BCG","1981",0.08
"Afghanistan","BCG","1982",0.1
"Afghanistan","BCG","1984",0.11
"Afghanistan","BCG","1985",0.17
"Afghanistan","BCG","1986",0.18
"Afghanistan","BCG","1987",0.27
"Afghanistan","BCG","1988",0.4
"Afghanistan","BCG","1989",0.38
"Afghanistan","BCG","1990",0.3
"Afghanistan","BCG","1991",0.21
"Afghanistan","BCG","1993",0.44
"Afghanistan","BCG","1994",0.15
"Afghanistan","BCG","1996",0.47000000000000003
"Afghanistan","BCG","1997",0.43
"Afghanistan","BCG","1998",0.35000000000000003
"Afghanistan","BCG","1999",0.38
"Afghanistan","BCG","2000",0.3
"Afghanistan","BCG","2001",0.43
"Afghanistan","BCG","2002",0.46
"Afghanistan","BCG","2003",0.44
"Afghanistan","BCG","2004",0.51
"Afghanistan","BCG","2005",0.5700000000000001
"Afghanistan","BCG","2006",0.6
"Afghanistan","BCG","2007",0.6
"Afghanistan","BCG","2008",0.66
"Afghanistan","BCG","2009",0.64
"Afghanistan","BCG","2010",0.68
"Afghanistan","BCG","2011",0.8300000000000001
"Afghanistan","BCG","2012",0.89
"Afghanistan","BCG","2013",0.89
"Afghanistan","BCG","2014",0.97
"Afghanistan","BCG","2015",0.97
"Afghanistan","BCG","2016",0.87
"Afghanistan","BCG","2017",0.93
"Afghanistan","BCG","2018",0.98
"Albania","BCG","1981",0.93
"Albania","BCG","1983",0.9
"Albania","BCG","1984",0.9
"Albania","BCG","1985",0.92
"Albania","BCG","1986",0.92
"Albania","BCG","1987",0.92
"Albania","BCG","1988",0.92
"Albania","BCG","1989",0.9400000000000001
"Albania","BCG","1990",0.9400000000000001
"Albania","BCG","1991",0.8
"Albania","BCG","1992",0.81
"Albania","BCG","1993",0.8200000000000001
"Albania","BCG","1994",0.87
"Albania","BCG","1995",0.97
"Albania","BCG","1996",0.9400000000000001
"Albania","BCG","1997",0.9400000000000001
"Albania","BCG","1998",0.87
"Albania","BCG","1999",0.93
"Albania","BCG","2000",0.93
"Albania","BCG","2001",0.93
"Albania","BCG","2002",0.9400000000000001
"Albania","BCG","2003",0.9500000000000001
"Albania","BCG","2004",0.97
"Albania","BCG","2005",0.98
"Albania","BCG","2006",0.97
"Albania","BCG","2007",0.98
"Albania","BCG","2008",0.99
"Albania","BCG","2009",0.97
"Albania","BCG","2010",0.99
"Albania","BCG","2011",0.97
"Albania","BCG","2012",0.96
"Albania","BCG","2013",0.99
"Albania","BCG","2014",0.99
"Albania","BCG","2015",0.99
"Albania","BCG","2016",0.99
"Albania","BCG","2017",0.99
"Albania","BCG","2018",0.99
"Algeria","BCG","1981",0.59
"Algeria","BCG","1987",0.93
"Algeria","BCG","1989",0.96
"Algeria","BCG","1990",0.65
"Algeria","BCG","1991",0.91
"Algeria","BCG","1992",0.92
"Algeria","BCG","1993",0.87
"Algeria","BCG","1994",0.93
"Algeria","BCG","1995",0.93
"Algeria","BCG","1996",0.9400000000000001
"Algeria","BCG","1997",0.9400000000000001
"Algeria","BCG","1998",0.9500000000000001
"Algeria","BCG","1999",0.97
"Algeria","BCG","2001",0.97
"Algeria","BCG","2002",0.98
"Algeria","BCG","2003",0.98
"Algeria","BCG","2004",0.98
"Algeria","BCG","2005",0.98
"Algeria","BCG","2006",0.99
"Algeria","BCG","2007",0.99
"Algeria","BCG","2008",0.99
"Algeria","BCG","2009",0.99
"Algeria","BCG","2010",0.99
"Algeria","BCG","2011",0.99
"Algeria","BCG","2012",0.99
"Algeria","BCG","2013",0.99
"Algeria","BCG","2014",0.99
"Algeria","BCG","2015",0.99
"Algeria","BCG","2016",0.99
"Algeria","BCG","2017",0.99
"Algeria","BCG","2018",0.99
"Angola","BCG","1983",0.25
"Angola","BCG","1985",0.28
"Angola","BCG","1986",0.32
"Angola","BCG","1987",0.29
"Angola","BCG","1988",0.32
"Angola","BCG","1989",0.47000000000000003
"Angola","BCG","1990",0.48
"Angola","BCG","1991",0.53
"Angola","BCG","1992",0.47000000000000003
"Angola","BCG","1993",0.53
"Angola","BCG","1994",0.48
"Angola","BCG","1995",0.74
"Angola","BCG","1996",0.5
"Angola","BCG","1997",0.7000000000000001
"Angola","BCG","1998",0.88
"Angola","BCG","1999",0.52
"Angola","BCG","2000",0.56
"Angola","BCG","2001",0.74
"Angola","BCG","2002",0.8
"Angola","BCG","2003",0.62
"Angola","BCG","2004",0.72
"Angola","BCG","2005",0.61
"Angola","BCG","2006",0.65
"Angola","BCG","2007",0.88
"Angola","BCG","2008",0.87
"Angola","BCG","2009",0.8300000000000001
"Angola","BCG","2010",0.93
